r_id,r_name,DT_PEA,DT_BCHA
R_r_0168,"aldehyde dehydrogenase (2-methylbutanol, NADP)",0,0
R_r_0169,"aldehyde dehydrogenase (2-phenylethanol, NAD)",0,0
R_r_0170,"aldehyde dehydrogenase (2-phenylethanol, NAD)",0,0
R_r_0171,"aldehyde dehydrogenase (2-phenylethanol, NADP)",0,0
R_r_0172,"aldehyde dehydrogenase (3-aminopropanal, NAD)",0,0
R_r_0173,"aldehyde dehydrogenase (acetaldehyde, NADP)",0,0
R_r_0174,"aldehyde dehydrogenase (acetylaldehyde, NAD)",0,0
R_r_0175,"aldehyde dehydrogenase (acetylaldehyde, NADP)",0,0
R_r_0176,"aldehyde dehydrogenase (indole-3-acetaldehyde, NAD)",0,0
R_r_0177,"aldehyde dehydrogenase (indole-3-acetaldehyde, NADP)",0,0
R_r_0178,"aldehyde dehydrogenase (indole-3-acetaldehyde, NADP)",0,0
R_r_0179,"aldehyde dehydrogenase (isoamyl alcohol, NAD)",0,0
R_r_0180,"aldehyde dehydrogenase (isoamyl alcohol, NAD)",0,0
R_r_0181,"aldehyde dehydrogenase (isoamyl alcohol, NADP)",0,0
R_r_0182,"aldehyde dehydrogenase (isobutyl alcohol, NAD)",0,0
R_r_0183,"aldehyde dehydrogenase (isobutyl alcohol, NAD)",0,0
R_r_0184,"aldehyde dehydrogenase (isobutyl alcohol, NADP)",0,0
R_r_0185,"aldehyde dehydrogenase (phenylacetaldehyde, NAD)",0,0
R_r_0186,"aldehyde dehydrogenase (tryptophol, NAD)",0,0
R_r_0187,"aldehyde dehydrogenase (tryptophol, NAD)",0,0
R_r_0188,alkaline phosphatase (dihydroneopterin),0,0
R_r_0189,allantoate amidinohydrolase,0,0
R_r_0190,"allantoinase, reaction",0,0
R_r_0191,allophanate hydrolase,0,0
R_r_0192,"alpha 1,2-mannosyltransferase",0,0
R_r_0193,"alpha,alpha-trehalase",0,0
R_r_0194,"alpha,alpha-trehalase",0,0
R_r_0195,"alpha,alpha-trehalose-phosphate synthase (UDP-forming)",0,0
R_r_0198,alpha-glucosidase,0,0
R_r_0199,amidase,0,0
R_r_0200,Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing),0,0
R_r_0201,Aminobutyraldehyde dehydrogenase,0,0
R_r_0202,anthranilate phosphoribosyltransferase,0,0
R_r_0203,anthranilate synthase,0,0
R_r_0204,Ap4A hydrolase,0,0
R_r_0205,arabinose reductase,0,0
R_r_0206,arginase,0,0
R_r_0207,argininosuccinate lyase,0,0
R_r_0208,argininosuccinate synthase,0,0
R_r_0209,arginyl-tRNA synthetase,0,0
R_r_0210,arginyl-tRNA synthetase,0,0
R_r_0211,asparagine synthase (glutamine-hydrolysing),0,0
R_r_0212,Asparaginyl-tRNA synthetase,0,0
R_r_0213,"asparaginyl-tRNA synthetase, miotchondrial",0,0
R_r_0214,aspartate carbamoyltransferase,0,0
R_r_0215,aspartate kinase,0,0
R_r_0216,aspartate transaminase,0,0
R_r_0217,aspartate transaminase,0,0
R_r_0218,aspartate transaminase,0,0
R_r_0219,aspartate-semialdehyde dehydrogenase,0,0
R_r_0220,Aspartyl-tRNA synthetase,0,0
R_r_0221,Aspartyl-tRNA synthetase,0,0
R_r_0222,ATP adenylyltransferase,0,0
R_r_0223,ATP adenylyltransferase,0,0
R_r_0224,ATP adenylyltransferase,0,0
R_r_0225,ATP phosphoribosyltransferase,0,0
R_r_0226,ATP synthase,0,0
R_r_0227,"ATPase, cytosolic",0,0
R_r_0228,"beta-1,4 mannosyltransferase",0,0
R_r_0229,biotin synthase,0,0
R_r_0230,biotin-[acetyl-CoA-carboxylase] ligase,0,0
R_r_0231,C-14 sterol reductase,0,0
R_r_0233,C-22 sterol desaturase (NADP),0,0
R_r_0234,C-3 sterol dehydrogenase,0,0
R_r_0235,C-3 sterol dehydrogenase (4-methylzymosterol),0,0
R_r_0236,C-3 sterol keto reductase (4-methylzymosterol),0,0
R_r_0237,C-3 sterol keto reductase (zymosterol),0,0
R_r_0238,C-4 methyl sterol oxidase,0,0
R_r_0239,C-4 methyl sterol oxidase,0,0
R_r_0240,C-4 methyl sterol oxidase,0,0
R_r_0241,"C-4 sterol methyl oxidase (4,4-dimethylzymosterol)",0,0
R_r_0242,C-5 sterol desaturase,0,0
R_r_0243,C-8 sterol isomerase,0,0
R_r_0244,C-s24 sterol reductase,0,0
R_r_0249,CAAX farnesyltransferase,0,0
R_r_0250,carbamoyl-phosphate synthase (glutamine-hydrolysing),0,0
R_r_0252,carnitine O-acetyltransferase,0,0
R_r_0253,carnitine O-acetyltransferase,0,0
R_r_0254,carnitine O-acetyltransferase,0,0
R_r_0255,catalase,0,0
R_r_0256,catalase,0,0
R_r_0259,ceramide-1 hydroxylase (24C),0,0
R_r_0260,ceramide-1 hydroxylase (24C),0,0
R_r_0261,ceramide-1 hydroxylase (26C),0,0
R_r_0262,ceramide-1 hydroxylase (26C),0,0
R_r_0263,ceramide-1 synthase (24C),0,0
R_r_0264,ceramide-1 synthase (26C),0,0
R_r_0265,ceramide-2 synthase (24C),0,0
R_r_0266,ceramide-2 synthase (26C),0,0
R_r_0267,ceramide-3 synthase (24C),0,0
R_r_0268,ceramide-3 synthase (26C),0,0
R_r_0269,ceramide-4 synthase (24C),0,0
R_r_0270,ceramide-4 synthase (26C),0,0
R_r_0271,chitin deacetylase,0,0
R_r_0272,chitin synthase,0,0
R_r_0273,choline kinase,0,0
R_r_0274,choline phosphate cytididyltransferase,0,0
R_r_0278,chorismate mutase,0,0
R_r_0279,chorismate synthase,0,0
R_r_0280,cis-aconitate(3-) to isocitrate,0,0
R_r_0281,cis-prenyltransferase step 01,0,0
R_r_0282,cis-prenyltransferase step 02,0,0
R_r_0283,cis-prenyltransferase step 03,0,0
R_r_0284,cis-prenyltransferase step 04,0,0
R_r_0285,cis-prenyltransferase step 05,0,0
R_r_0286,cis-prenyltransferase step 06,0,0
R_r_0287,cis-prenyltransferase step 07,0,0
R_r_0288,cis-prenyltransferase step 08,0,0
R_r_0289,cis-prenyltransferase step 09,0,0
R_r_0290,cis-prenyltransferase step 10,0,0
R_r_0291,cis-prenyltransferase step 11,0,0
R_r_0292,cis-prenyltransferase step 12,0,0
R_r_0293,cis-prenyltransferase step 13,0,0
R_r_0294,cis-prenyltransferase step 14,0,0
R_r_0295,cis-prenyltransferase step 15,0,0
R_r_0296,cis-prenyltransferase step 16,0,0
R_r_0297,cis-prenyltransferase step 17,0,0
R_r_0298,cis-prenyltransferase step 18,0,0
R_r_0299,cis-prenyltransferase step 19,0,0
R_r_0300,citrate synthase,0,0
R_r_0301,"citrate synthase, peroxisomal",0,0
R_r_0302,citrate to cis-aconitate(3-),0,0
R_r_0303,"citrate to cis-aconitate(3-), cytoplasmic",0,0
R_r_0304,coproporphyrinogen oxidase (O2 required),0,0
R_r_0306,CTP synthase (glutamine),0,0
R_r_0307,CTP synthase (NH3),0,0
R_r_0308,cystathionine b-lyase,0,0
R_r_0309,cystathionine beta-synthase,0,0
R_r_0310,cystathionine g-lyase,0,0
R_r_0311,cystathionine gamma-synthase,0,0
R_r_0312,cysteine synthase,0,0
R_r_0313,cysteinyl-tRNA synthetase,0,0
R_r_0314,cytidine deaminase,0,0
R_r_0315,cytidine kinase (GTP),0,0
R_r_0317,cytochrome P450 lanosterol 14-alpha-demethylase (NADP),0,0
R_r_0318,cytosine deaminase,0,0
R_r_0319,"D-arabinono-1,4-lactone oxidase",0,0
R_r_0320,D-arabinose 1-dehydrogenase (NAD),0,0
R_r_0321,D-arabinose 1-dehydrogenase (NADP),0,0
R_r_0322,D-fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase,0,0
R_r_0323,D-sorbitol dehydrogenase (D-fructose producing),0,0
R_r_0326,dCMP deaminase,0,0
R_r_0327,dCTP deaminase,0,0
R_r_0328,deoxyadenosine deaminase,0,0
R_r_0329,deoxycytidine deaminase,0,0
R_r_0330,deoxyguanylate kinase (dGMP:ATP),0,0
R_r_0331,"deoxyhypusine synthase, cytosolic/mitochondrial",0,0
R_r_0332,deoxyribokinase,0,0
R_r_0334,dephospho-CoA kinase,0,0
R_r_0335,dethiobiotin synthase,0,0
R_r_0340,dihydroceramidase,0,0
R_r_0341,dihydroceramidase,0,0
R_r_0342,dihydroceramidase,0,0
R_r_0343,dihydroceramidase,0,0
R_r_0344,dihydrofolate reductase,0,0
R_r_0345,dihydrofolate reductase,0,0
R_r_0346,dihydrofolate synthase,0,0
R_r_0347,dihydroneopterin aldolase,0,0
R_r_0348,dihydroneopterin monophosphate dephosphorylase,0,0
R_r_0349,dihydroorotase,0,0
R_r_0350,dihydropteroate synthase,0,0
R_r_0351,dihydropteroate synthase,0,0
R_r_0352,"dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)",0,0
R_r_0353,"dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)",0,0
R_r_0354,dihydroxyacetone kinase,0,0
R_r_0355,dimethylallyltranstransferase,0,0
R_r_0356,diphosphoglyceromutase,0,0
R_r_0357,"diphosphoinositol-1,3,4,6-tetrakisphosphate diphosphohydrolase",0,0
R_r_0358,"diphosphoinositol-1,3,4,6-tetrakisphosphate synthase",0,0
R_r_0359,diphthine synthase,0,0
R_r_0360,dolichol kinase,0,0
R_r_0361,dolichyl-phosphate D-mannosyltransferase,0,0
R_r_0362,dolichyl-phosphate-mannose--protein mannosyltransferase,0,0
R_r_0363,dTMP kinase,0,0
R_r_0364,dUTP diphosphatase,0,0
R_r_0365,endopolygalacturonase,0,0
R_r_0366,enolase,0,0
R_r_0368,ethanolamine kinase,0,0
R_r_0369,ethyl acetate-hydrolyzing esterase,0,0
R_r_0370,"exo-1,3-beta-glucan glucohydrase",0,0
R_r_0373,farnesyltranstransferase,0,0
R_r_0399,fatty-acid--CoA ligase (decanoate),0,0
R_r_0400,fatty-acid--CoA ligase (dodecanoate),0,0
R_r_0402,fatty-acid--CoA ligase (hexadecanoate),0,0
R_r_0410,fatty-acid--CoA ligase (octanoate),0,0
R_r_0412,fatty-acid--CoA ligase (tetradecanoate),0,0
R_r_0436,ferrochelatase,0,0
R_r_0437,ferrocytochrome-c:hydrogen-peroxide oxidoreductase,0,0
R_r_0438,ferrocytochrome-c:oxygen oxidoreductase,0,0
R_r_0439,ubiquinol:ferricytochrome c reductase,0,0
R_r_0440,FMN adenylyltransferase,0,0
R_r_0441,FMN reductase,0,0
R_r_0442,FMN reductase,0,0
R_r_0443,formaldehyde dehydrogenase,0,0
R_r_0445,formate dehydrogenase,0,0
R_r_0446,formate-tetrahydrofolate ligase,0,0
R_r_0447,formate-tetrahydrofolate ligase,0,0
R_r_0448,"fructose-2,6-bisphosphate 2-phosphatase",0,0
R_r_0449,fructose-bisphosphatase,0,0
R_r_0450,fructose-bisphosphate aldolase,0,0
R_r_0451,fumarase,0,0
R_r_0452,"fumarase, cytoplasmic",0,0
R_r_0453,dihydoorotic acid dehydrogenase,0,0
R_r_0454,fumarate reductase,0,0
R_r_0455,soluble fumarate reductase,0,0
R_r_0457,g-glutamyltransferase,0,0
R_r_0458,galactokinase,0,0
R_r_0459,galactose-1-phosphate uridylyltransferase,0,0
R_r_0460,gamma-glutamylcysteine synthetase,0,0
R_r_0461,geranylgeranyltranstransferase,0,0
R_r_0462,geranyltranstransferase,0,0
R_r_0463,"glucan 1,4-alpha-glucosidase",0,0
R_r_0464,"glucan 1,4-alpha-glucosidase, vacuole",0,0
R_r_0465,glucosamine-6-phosphate deaminase,0,0
R_r_0466,glucose 6-phosphate dehydrogenase,0,0
R_r_0467,glucose-6-phosphate isomerase,0,0
R_r_0468,glutamate 5-kinase,0,0
R_r_0469,glutamate decarboxylase,0,0
R_r_0470,glutamate dehydrogenase (NAD),0,0
R_r_0471,glutamate dehydrogenase (NADP),0,0
R_r_0472,glutamate synthase (NADH2),0,0
R_r_0473,glutamate-5-semialdehyde dehydrogenase,0,0
R_r_0475,glutaminase,0,0
R_r_0476,glutamine synthetase,0,0
R_r_0477,glutamine-fructose-6-phosphate transaminase,0,0
R_r_0478,glutaminyl-tRNA synthetase,0,0
R_r_0479,glutamyl-tRNA synthetase,0,0
R_r_0480,glutamyl-tRNA synthetase,0,0
R_r_0481,glutathione oxidoreductase,0,0
R_r_0482,glutathione oxidoreductase,0,0
R_r_0483,glutathione peridoxase,0,0
R_r_0484,"glutathione peroxidase, mitochondria",0,0
R_r_0485,glutathione synthetase,0,0
R_r_0486,glyceraldehyde-3-phosphate dehydrogenase,0,0
R_r_0487,glycerol dehydrogenase (NADP-dependent),0,0
R_r_0488,glycerol kinase,0,0
R_r_0489,glycerol-3-phosphatase,0,0
R_r_0490,glycerol-3-phosphate dehydrogenase (fad),0,0
R_r_0491,glycerol-3-phosphate dehydrogenase (NAD),0,0
R_r_0492,glycerol-3-phosphate dehydrogenase (NAD),0,0
R_r_0497,glycerophosphodiester phosphodiesterase (glycerophosphocholine),0,0
R_r_0499,glycinamide ribotide transformylase,0,0
R_r_0500,glycine C-acetyltransferase,0,0
R_r_0501,glycine cleavage system,0,0
R_r_0502,glycine hydroxymethyltransferase,0,0
R_r_0503,glycine hydroxymethyltransferase,0,0
R_r_0504,glycine-cleavage complex (lipoamide),0,0
R_r_0505,glycine-cleavage complex (lipoamide),0,0
R_r_0506,glycine-cleavage complex (lipoylprotein),0,0
R_r_0507,glycine-cleavage complex (lipoylprotein),0,0
R_r_0508,glycine-cleavage complex (lipoylprotein),0,0
R_r_0509,glycine-cleavage system (lipoamide),0,0
R_r_0510,glycogen (starch) synthase,0,0
R_r_0511,glycogen phosphorylase,0,0
R_r_0512,glycyl-tRNA synthetase,0,0
R_r_0514,GMP synthase,0,0
R_r_0518,"GPI-anchor assembly, step 2",0,0
R_r_0519,"GPI-anchor assembly, step 5",0,0
R_r_0520,"GPI-anchor assembly, step 6",0,0
R_r_0521,"GPI-anchor assembly, step 7",0,0
R_r_0522,"GPI-anchor assembly, step 8",0,0
R_r_0523,"GPI-anchor assembly, step 9",0,0
R_r_0524,GTP cyclohydrolase I,0,0
R_r_0525,GTP cyclohydrolase II,0,0
R_r_0526,guanine deaminase,0,0
R_r_0527,guanine phosphoribosyltransferase,0,0
R_r_0528,guanylate kinase,0,0
R_r_0529,guanylate kinase (GMP:dATP),0,0
R_r_0530,heme O monooxygenase,0,0
R_r_0531,Heme O synthase,0,0
R_r_0532,hexaprenyldihydroxybenzoate methyltransferase,0,0
R_r_0533,hexokinase (D-fructose:ATP),0,0
R_r_0534,hexokinase (D-glucose:ATP),0,0
R_r_0535,hexokinase (D-mannose:ATP),0,0
R_r_0536,histidinol dehydrogenase,0,0
R_r_0537,histidinol-phosphatase,0,0
R_r_0538,histidinol-phosphate transaminase,0,0
R_r_0539,histidyl-tRNA synthetase,0,0
R_r_0540,histidyl-tRNA synthetase,0,0
R_r_0541,hnRNP arginine N-methyltransferase,0,0
R_r_0542,homoacontinate hydratase,0,0
R_r_0543,homocitrate synthase,0,0
R_r_0544,homocysteine S-methyltransferase,0,0
R_r_0545,homoisocitrate dehydrogenase,0,0
R_r_0546,homoserine dehydrogenase (NADH),0,0
R_r_0547,homoserine dehydrogenase (NADP),0,0
R_r_0548,homoserine kinase,0,0
R_r_0549,homoserine O-trans-acetylase,0,0
R_r_0550,hydrogen peroxide reductase (thioredoxin),0,0
R_r_0551,hydrogen peroxide reductase (thioredoxin),0,0
R_r_0552,hydrogen peroxide reductase (thioredoxin),0,0
R_r_0553,hydroxyacylglutathione hydrolase,0,0
R_r_0554,hydroxyacylglutathione hydrolase,0,0
R_r_0555,hydroxybenzoate octaprenyltransferase,0,0
R_r_0556,hydroxyethylthiazole kinase,0,0
R_r_0557,hydroxymethylbilane synthase,0,0
R_r_0558,hydroxymethylglutaryl CoA reductase,0,0
R_r_0560,hydroxymethylglutaryl CoA synthase,0,0
R_r_0561,hydroxymethylpyrimidine kinase (ATP),0,0
R_r_0562,hypoxanthine phosphoribosyltransferase (Hypoxanthine),0,0
R_r_0563,Imidazole-glycerol-3-phosphate synthase,0,0
R_r_0564,imidazoleglycerol-phosphate dehydratase,0,0
R_r_0565,IMP dehydrogenase,0,0
R_r_0566,indole-3-glycerol-phosphate synthase,0,0
R_r_0567,indole-3-pyruvate decarboxylase,0,0
R_r_0568,inorganic diphosphatase,0,0
R_r_0569,inorganic diphosphatase,0,0
R_r_0570,inosine monophosphate cyclohydrolase,0,0
R_r_0571,"inositol-1,3,4,5,6-pentakisphosphate 2-kinase",0,0
R_r_0572,"inositol-1,3,4,5-triphosphate 6-kinase, nucleus",0,0
R_r_0573,"inositol-1,4,5,6- tetrakisphosphate 3-kinase, nucleus",0,0
R_r_0574,"inositol-1,4,5-triphosphate 6-kinase, nucleus",0,0
R_r_0575,"inositol-1,4,5-trisphosphate 3-kinase, nucleus",0,0
R_r_0596,IPS phospholipase C,0,0
R_r_0597,IPS phospholipase C,0,0
R_r_0598,IPS phospholipase C,0,0
R_r_0599,IPS phospholipase C,0,0
R_r_0600,IPS phospholipase C,0,0
R_r_0601,IPS phospholipase C,0,0
R_r_0602,IPS phospholipase C,0,0
R_r_0603,IPS phospholipase C,0,0
R_r_0604,IPS phospholipase C,0,0
R_r_0605,IPS phospholipase C,0,0
R_r_0606,IPS phospholipase C,0,0
R_r_0607,IPS phospholipase C,0,0
R_r_0608,IPS phospholipase C,0,0
R_r_0609,IPS phospholipase C,0,0
R_r_0610,IPS phospholipase C,0,0
R_r_0611,IPS phospholipase C,0,0
R_r_0612,IPS phospholipase C,0,0
R_r_0613,IPS phospholipase C,0,0
R_r_0614,IPS phospholipase C,0,0
R_r_0615,IPS phospholipase C,0,0
R_r_0616,IPS phospholipase C,0,0
R_r_0617,IPS phospholipase C,0,0
R_r_0618,IPS phospholipase C,0,0
R_r_0619,IPS phospholipase C,0,0
R_r_0620,IPS phospholipase C,0,0
R_r_0621,IPS phospholipase C,0,0
R_r_0622,IPS phospholipase C,0,0
